Where is object on display at the State Collection of Egyptian Art in?	-0.4016
Where did power of the last pharaoh of the dynasty, Ramesses XI, grow so weak that in the south the High Priests of Amun at?	-1.0646
Was during the three kingdoms Egypt unified under one government?	-1.0646
Who, for example, points to documents and inscriptions from the 6th dynasty listing an important town called Menat-Khufu, meaning "nurse of Khufu"?	-1.0646
Was Egypt ruled by the Twelfth Dynasty?	-0.4016
What is the construction of "Osiris Beds"?	0.9243
How did medieval perceptions of punishment influence the inferno in hell?	0.9243
What is the vernacular of the Middle Egyptian language?	0.9243
Why did several roman poets write within ten years of the event mention bites by two asps?	-0.4016
Why did Coptic survive into the medieval period, but by the 16th century was dwindling rapidly?	0.9243
Where did New Kingdom New Kingdom felt compel to expand far south into?	-1.0646
Was ancient Egypt Egypt unified under one government?	0.2613
Who said that the queen died from drinking a mixture of poisons?	0.9243
Why were the kings of Egypt would?	-1.7275
Why have the following consonants are reconstructed for Archaic and Old Egyptian , with IPA equivalents in square brackets if the following consonants differ from the usual transcription scheme: /l/ have no independent representation in the hieroglyphic orthography, and it is frequently written?	-1.7275
Has the Egyptian language earliest known complete written sentence been dated to about 2690 BC?	-1.0646
Did Osiris become the most important deity in popular religion?	0.9243
Why be however, because vowels and sometimes glides are not written in any egyptian script except Coptic, it can?	-0.4016
Why do more changes occur in the 1st millennium BC and the first centuries CE?	-0.4016
Who originally ruled jointly with father Ptolemy XII Auletes, and later with brothers Ptolemy XIII Theos Philopator and Ptolemy XIV, whom married as per Egyptian custom, but eventually became sole ruler?	0.9243
How old were the sacrifices to Osiris?	0.9243
What was the second day of the procession called?	0.9243
Why did Egyptians think that Cleopatra was a reincarnation of the goddess Isis?	0.9243
Why are the three main sets of personal pronouns have?	-1.0646
Where did Amenemhet I build the Walls of the Ruler?	0.9243
The Old Kingdom is most commonly regarded as the period from the Third dynasty through to what dynasty?	0.2613
Why do pre-coptic Egyptian show great dialectal differences in the written language?	0.9243
Where did mentuhotep III reign for only twelve years, during which he continued consolidating Theban rule over the whole of Egypt, building a series of forts in the eastern Delta region to secure Egypt against threats from?	0.2613
More than one strain of the malaria parasite was found, which indicating that contracted multiple malarial infections?	-0.4016
Why been Egyptian has well-understood since then, although certain points of the verbal inflection remained open to revision until the mid-20th century, notably?	-1.0646
What was the last major Egyptian temple to be closed?	0.9243
Why did Egypt build forts in the Middle East?	0.9243
Why was Osiris soul, or rather Osiris Ba, occasionally worshipped in its own right, almost?	0.9243
How did Cleopatra influence the most powerful men in the Western world?	0.9243
Why were these preferred to pebbles?	-1.7275
How did Khufu build the pyramids?	0.9243
Did mean "Living Image of Aten"?	-1.7275
What was the New Kingdom army different from?	-1.0646
Did been refer to colloquially as King Tut?	-1.0646
Who has suggested these events should be interpreted as evidence of open war between two dynastic claimants?	-1.0646
Is Mentuhotep II regarded as the founder of the Middle Kingdom?	0.9243
When did Amenemhet II die?	0.9243
Was the Old Kingdom followed by a period of disunity?	0.9243
Who was married to young brother, but quickly made it clear that had no intention of sharing power with him?	-1.0646
Who proposes a compound st-jrt, meaning "seat of the eye", in a hypothetical earlier form * wst-jrt?	-1.0646
Who also showed that he had a partially clubbed foot and would have been unable to stand unaided, thus making it unlikely he ever rode in a chariot?	-1.0646
What proved the lighter Bronze Age type war chariots most useful on flat unbroken ground?	0.2613
When did the famine occur in the Middle Kingdom?	0.9243
When did Akhenaten reign?	0.9243
What is the third kingdom period that marks the high points of civilization in the lower Nile Valley?	0.2613
Why was when at the end of the 20th Dynasty the Valley of the kings burial sites were systematically dismantled, a tomb that was unusually small considering his status overlook, presumably?	-0.4016
What is the royal harbour at Wadi al-Jarf?	0.2613
Where do egyptologists also include the Memphite Seventh and Eighth Dynasties in The Old Kingdom as a continuation of the administration centralized at?	-0.4016
Is the Old Kingdom most commonly regarded as the period from the Third Dynasty through to the Sixth Dynasty ?	0.9243
What is the distinctive crown of Osiris?	0.9243
What dynasty did Hatshepsut rule in?	0.9243
Why do the large tombs indicative of nomarchs disappear at the end of the Twelfth Dynasty?	0.9243
Why is that probably?	-1.7275
What did Cleopatra bet Mark Antony at one of the lavish dinners which they shared?	0.9243
Where were entourage still in?	-1.7275
Why do this intend duties?	-1.7275
What was diagnosed in Tutankhamun?	0.9243
Does Egyptian show Egyptian greatest affinities with Semitic?	-1.0646
Where is portrait of Khufu a three-inch high ivory figurine found in a temple ruin of later period at?	0.9243
When did the Greeks stop explaining the impressive monuments and statues of Khufu?	-0.4016
How did Egyptian armies fight Hittites in modern-day Syria?	0.9243
Was the royal capital of Egypt moved to Memphis?	0.9243
Did the lack of this depiction influence later Greek historians?	-1.0646
How long did the labor strike last?	0.9243
Where did mark Antony send Mark Antony intimate friend Quintus Dellius to?	0.2613
Was ancient Egypt an ancient civilization of eastern North Africa?	0.9243
